Quality Alloys;;;;;;;;;;;;;;;;;;;;;;;
Weekly Web Analytics;;;;"Initial ""Shakedown"" Period";;;Pre and Post Promotion Periods;;;;;;;;;;;;;;;;
May 25, 2008 - August 29, 2009;;;;Promotion Period;;;are unshaded.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Week (2008-2009);Visits;Unique Visits;Pageviews;Pages/Visit;Avg. Time on Site (secs.);Bounce Rate;% New Visits;;;;;;;;;;;;;;;;
May 25 - May 31;1.632;1.509;3.328;2,04;71;72,67%;88,54%;;;;;;;;;;;;;;;;
Jun 1 - Jun 7;1.580;1.450;3.097;1,96;56;75,51%;87,34%;;;;;;;;;;;;;;;;
Jun 8 - Jun 14;1.441;1.306;3.202;2,22;79;73,98%;84,32%;;;;;;;;;;;;;;;;
Jun 15 - Jun 21;1.452;1.301;3.170;2,18;81;73,62%;84,37%;;;;;;;;;;;;;;;;
Jun 22 - Jun 28;1.339;1.255;2.366;1,77;50;76,40%;89,25%;;;;;;;;;;;;;;;;
Jun 29 - Jul 5;892;841;1.865;2,09;71;73,65%;87,56%;;;;;;;;;;;;;;;;
Jul 6 - Jul 12;797;731;1.885;2,37;80;61,48%;85,70%;;;;;;;;;;;;;;;;
Jul 13 - Jul 19;744;706;1.916;2,58;96;59,27%;88,84%;;;;;;;;;;;;;;;;
Jul 20 - Jul 26;1.044;976;2.670;2,56;82;60,34%;86,69%;;;;;;;;;;;;;;;;
Jul 27 - Aug 2;906;850;2.189;2,42;78;63,36%;87,42%;;;;;;;;;;;;;;;;
Aug 3 - Aug 9;849;791;1.947;2,29;91;64,43%;87,04%;;;;;;;;;;;;;;;;
Aug 10 - Aug 16;737;685;1.746;2,37;98;62,82%;87,25%;;;;;;;;;;;;;;;;
Aug 17 - Aug 23;734;668;1.946;2,65;100;62,40%;84,33%;;;;;;;;;;;;;;;;
Aug 24 - Aug 30;626;594;1.540;2,46;91;61,98%;86,58%;;;;;;;;;;;;;;;;
Aug 31 - Sep 6;577;537;1.489;2,58;83;62,05%;86,66%;;;;;;;;;;;;;;;;
Sep 7 - Sep 13;562;508;1.428;2,54;82;58,90%;81,32%;;;;;;;;;;;;;;;;
Sep 14 - Sep 20;563;495;1.547;2,75;112;58,61%;78,51%;;;;;;;;;;;;;;;;
Sep 21 - Sep 27;652;585;1.792;2,75;101;56,13%;80,98%;;;;;;;;;;;;;;;;
Sep 28 - Oct 4;611;549;1.928;3,16;109;53,52%;81,18%;;;;;;;;;;;;;;;;
Oct 5 - Oct 11;561;500;1.784;3,18;113;53,65%;79,86%;;;;;;;;;;;;;;;;
Oct 12 - Oct 18;558;525;1.455;2,61;97;61,29%;86,02%;;;;;;;;;;;;;;;;
Oct 19 - Oct 25;570;520;1.562;2,74;95;57,37%;84,91%;;;;;;;;;;;;;;;;
Oct 26 - Nov 1;551;511;1.560;2,83;109;56,62%;83,85%;;;;;;;;;;;;;;;;
Nov 2 - Nov 8;537;507;1.450;2,7;93;56,98%;87,15%;;;;;;;;;;;;;;;;
Nov 9 - Nov 15;543;500;1.527;2,81;109;58,38%;83,61%;;;;;;;;;;;;;;;;
Nov 16 - Nov 22;558;511;1.495;2,68;96;57,71%;81,18%;;;;;;;;;;;;;;;;
Nov 23 - Nov 29;536;510;1.515;2,83;102;57,65%;87,31%;;;;;;;;;;;;;;;;
Nov 30 - Dec 6;549;498;1.367;2,49;87;61,20%;81,79%;;;;;;;;;;;;;;;;
Dec 7 - Dec 13;545;499;1.464;2,69;106;59,08%;82,39%;;;;;;;;;;;;;;;;
Dec 14 - Dec 20;591;535;1.469;2,49;91;62,44%;82,74%;;;;;;;;;;;;;;;;
Dec 21 - Dec 27;383;366;793;2,07;76;68,93%;90,08%;;;;;;;;;;;;;;;;
Dec 28 - Jan 3;402;385;827;2,06;62;70,15%;89,30%;;;;;;;;;;;;;;;;
Jan 4 - Jan 10;547;495;1.659;3,03;120;54,66%;81,90%;;;;;;;;;;;;;;;;
Jan 11 - Jan 17;631;583;1.745;2,77;103;56,58%;85,42%;;;;;;;;;;;;;;;;
Jan 18 - Jan 24;795;734;1.824;2,29;67;65,79%;85,28%;;;;;;;;;;;;;;;;
Jan 25 - Jan 31;1.000;930;2.259;2,26;66;65,80%;86,50%;;;;;;;;;;;;;;;;
Feb 1 - Feb 7;1.207;1.136;2.376;1,97;68;73,07%;88,15%;;;;;;;;;;;;;;;;
Feb 8 - Feb 14;2.317;2.229;3.814;1,65;38;82,26%;93,09%;;;;;;;;;;;;;;;;
Feb 15 - Feb 21;2.013;1.946;3.303;1,64;42;81,27%;93,14%;;;;;;;;;;;;;;;;
Feb 22 - Feb 28;2.324;2.228;3.836;1,65;40;80,72%;92,13%;;;;;;;;;;;;;;;;
Mar 1 - Mar 7;3.726;3.617;5.291;1,42;28;85,78%;94,79%;;;;;;;;;;;;;;;;
Mar 8 - Mar 14;2.563;2.482;3.729;1,45;31;84,78%;93,76%;;;;;;;;;;;;;;;;
Mar 15 - Mar 21;3.006;2.896;4.510;1,5;35;84,30%;93,11%;;;;;;;;;;;;;;;;
Mar 22 - Mar 28;1.663;1.585;3.037;1,83;52;76,55%;90,92%;;;;;;;;;;;;;;;;
Mar 29 - Apr 4;1.779;1.689;2.881;1,62;37;78,86%;91,29%;;;;;;;;;;;;;;;;
Apr 5 - Apr 11;1.086;1.030;2.313;2,13;63;69,34%;88,49%;;;;;;;;;;;;;;;;
Apr 12 - Apr 18;1.231;1.166;2.714;2,2;69;70,59%;89,20%;;;;;;;;;;;;;;;;
Apr 19 - Apr 25;1.248;1.178;2.414;1,93;59;73,16%;89,50%;;;;;;;;;;;;;;;;
Apr 26 - May 2;1.674;1.613;2.959;1,77;49;78,55%;92,77%;;;;;;;;;;;;;;;;
May 3 - May 9;1.514;1.452;2.676;1,77;48;77,61%;90,55%;;;;;;;;;;;;;;;;
May 10 - May 16;1.302;1.246;2.219;1,7;45;77,57%;90,63%;;;;;;;;;;;;;;;;
May 17 - May 23;1.191;1.137;2.400;2,02;59;73,47%;89,76%;;;;;;;;;;;;;;;;
May 24 - May 30;957;912;1.904;1,99;54;70,85%;89,45%;;;;;;;;;;;;;;;;
May 31 - Jun 6;963;909;2.156;2,24;76;68,33%;86,92%;;;;;;;;;;;;;;;;
Jun 7 - Jun 13;882;848;1.827;2,07;50;69,95%;88,89%;;;;;;;;;;;;;;;;
Jun 14 - Jun 20;942;896;2.068;2,2;73;68,58%;88,43%;;;;;;;;;;;;;;;;
Jun 21 - Jun 27;835;789;1.739;2,08;77;66,35%;87,66%;;;;;;;;;;;;;;;;
Jun 28 - Jul 4;802;762;1.764;2,2;73;65,71%;89,65%;;;;;;;;;;;;;;;;
Jul 5 - Jul 11;806;750;1.741;2,16;81;65,26%;84,62%;;;;;;;;;;;;;;;;
Jul 12 - Jul 18;900;828;2.074;2,3;65;64,56%;85,56%;;;;;;;;;;;;;;;;
Jul 19 - Jul 25;860;811;1.922;2,23;75;64,65%;86,86%;;;;;;;;;;;;;;;;
Jul 26 - Aug 1;924;828;2.131;2,31;78;64,18%;81,93%;;;;;;;;;;;;;;;;
Aug 2 - Aug 8;792;737;1.615;2,04;67;68,18%;85,48%;;;;;;;;;;;;;;;;
Aug 9 - Aug 15;781;718;1.598;2,05;69;66,33%;83,99%;;;;;;;;;;;;;;;;
Aug 16 - Aug 22;776;714;1.849;2,38;70;63,79%;84,15%;;;;;;;;;;;;;;;;
Aug 23 - Aug 29;772;709;1.767;2,29;72;61,92%;85,23%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
